case_id,type,canonical,matched,normalized,statute,date,year
2025_7_1858_1878_EN,section,Section 35,s.35,35,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 530,s.530,530,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 35,s.35,35,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 71,s.71,71,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 71,s.71,71,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 35,s.35,35,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 63,ss.63,63,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 35,s.35,35,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 94,ss.94,94,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 41,s.41,41,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 35,s.35,35,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 35,s.35,35,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 35,s.35,35,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 35,s.35,35,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 35,s.35,35,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 35,Section 35,35,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 64,Section 64,64,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 35,Section 35,35,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 530,Section 530,530,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 35,Section 35,35,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 35,Section 35,35,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 2,Section 2,2,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 530,Section 530,530,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 530,Section 530,530,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 530,Section 530,530,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 35,Section 35,35,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 35,Section 35,35,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 35,Section 35,35,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 35,Section 35,35,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 35,Section 35,35,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 35,Section 35,35,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 35,Section 35,35,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 35,Section 35,35,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 35,Section 35,35,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 35,Section 35,35,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 530,Section 530,530,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 35,Section 35,35,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 63,"Sections 63, 64",63,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 2,Section 2,2,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 2,Section 2,2,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 63,Section 63,63,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 63,Section 63,63,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 63,Section 63,63,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 64,Section 64,64,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 64,Section 64,64,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 64,Section 64,64,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 64,Section 64,64,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 63,Sections 63,63,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 64,Section 64,64,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 63,Section 63,63,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 63,Section 63,63,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 71,Section 71,71,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 70,"Section
70",70,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 71,Section 71,71,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 35,Section 35,35,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 71,Section 71,71,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 71,Section 71,71,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 35,Section 35,35,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 35,Section 35,35,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 63,Sections 63,63,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 35,Section 35,35,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 94,Sections 94,94,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 94,Section 94,94,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 193,Section 193,193,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_7_1858_1878_EN,section,Section 190,Section 190,190,Bharatiya Nyaya Sanhita,,2025
2025_7_1858_1878_EN,section,Section 64,"Sections 64, 65, 66, 67, 68, 70",64,Bharatiya Nyaya Sanhita,,2025
2025_7_1858_1878_EN,section,Section 71,Section 71,71,Bharatiya Nyaya Sanhita,,2025
2025_7_1858_1878_EN,section,Section 94,"Sections
94",94,Bharatiya Nyaya Sanhita,,2025
2025_7_1858_1878_EN,section,Section 94,Section 94,94,Bharatiya Nyaya Sanhita,,2025
2025_7_1858_1878_EN,section,Section 193,Section 193,193,Bharatiya Nyaya Sanhita,,2025
2025_7_1858_1878_EN,section,Section 35,Section 35,35,Bharatiya Nyaya Sanhita,,2025
2025_7_1858_1878_EN,section,Section 35,Section 35,35,Bharatiya Nyaya Sanhita,,2025
S_2002_1_229_268_EN,section,Section 2,Section 2,2,Bharatiya Nyaya Sanhita,,
S_2002_1_229_268_EN,section,Section 27,Section 27,27,Bharatiya Nyaya Sanhita,,
S_2002_1_229_268_EN,section,Section 37,Section 37,37,Bharatiya Nyaya Sanhita,,
S_2002_1_229_268_EN,section,Section 2,Section 2,2,Bharatiya Nyaya Sanhita,,
S_2002_1_229_268_EN,section,Section 33,Section 33,33,Bharatiya Nyaya Sanhita,,
S_2002_1_229_268_EN,section,Section 33,Section 33,33,Bharatiya Nyaya Sanhita,,
S_2003_2_822_885_EN,statute,"Panchayat and Nyaya Panchayats Act, 1983","Panchayat
and Nyaya Panchayats Act, 1983","Panchayat and Nyaya Panchayats Act, 1983","Panchayat and Nyaya Panchayats Act, 1983",,
