bns_section,raw_text,citation_count,ipc_equivalent
173,Section 173,16,Info to Police / FIR (BNSS 173 / CrPC 154)
97,s. 97,8,Legacy Mapping / Special Provision
2,Section 2,8,Legacy Mapping / Special Provision
306,s.306,7,379 (Theft)
173,s.173,7,Info to Police / FIR (BNSS 173 / CrPC 154)
3,Section 3,6,Legacy Mapping / Special Provision
196,s.196,6,Legacy Mapping / Special Provision
196,Section 196,5,Legacy Mapping / Special Provision
183,Section 183,4,Legacy Mapping / Special Provision
302,s.302,4,Legacy Mapping / Special Provision
5(l),"Sections 5(l), 6, 9",3,Legacy Mapping / Special Provision
68,section 68,3,Legacy Mapping / Special Provision
57,s.57,3,Legacy Mapping / Special Provision
71,Section 71,3,Legacy Mapping / Special Provision
498A,s.498A,3,Legacy Mapping / Special Provision
196,"ss.196, 197(1), 299, 302, 57",3,Legacy Mapping / Special Provision
65(1),"Sections 65(1), 74, 137",3,Legacy Mapping / Special Provision
57,Section 57,3,Legacy Mapping / Special Provision
66,Section 66,3,Legacy Mapping / Special Provision
61,s.61,3,Legacy Mapping / Special Provision
19,Section 19,2,Legacy Mapping / Special Provision
124,Section 124,2,Legacy Mapping / Special Provision
68,Section 68,2,Legacy Mapping / Special Provision
9,Sections 9,2,Legacy Mapping / Special Provision
84,s.84,2,Legacy Mapping / Special Provision
75,Section 75,2,Legacy Mapping / Special Provision
61,Sections 61,2,Legacy Mapping / Special Provision
7,Section 7,2,Legacy Mapping / Special Provision
76,section 76,2,Legacy Mapping / Special Provision
196,"ss.196, 197, 299",2,Legacy Mapping / Special Provision
70,section 70,2,Legacy Mapping / Special Provision
64,Section 64,2,376 (Rape)
65,Section 65,2,Legacy Mapping / Special Provision
67,Section 67,2,Legacy Mapping / Special Provision
107,s.107,2,Legacy Mapping / Special Provision
115,Section 115,2,Legacy Mapping / Special Provision
302,Section 302,2,Legacy Mapping / Special Provision
197,"Sections 197, 299",2,Legacy Mapping / Special Provision
7,s.7,2,Legacy Mapping / Special Provision
4,Section 4,2,Legacy Mapping / Special Provision
5,Section 5,2,Legacy Mapping / Special Provision
33,Section 33,2,Legacy Mapping / Special Provision
193,Section 193,2,Legacy Mapping / Special Provision
35,Section 35,2,Arrest without Warrant (BNSS 35 / CrPC 41)
306,Section 306,2,379 (Theft)
65,section 65,2,Legacy Mapping / Special Provision
187,Section 187,2,Legacy Mapping / Special Provision
20,Section 20,2,Legacy Mapping / Special Provision
69,Section 69,2,Deceitful Sexual Intercourse (New)
78,Section 78,2,Legacy Mapping / Special Provision
60(b),"ss.60(b), 316",2,Legacy Mapping / Special Provision
76,Section 76,2,Legacy Mapping / Special Provision
7,"Sections 7, 7A,
8",1,Legacy Mapping / Special Provision
108,"ss.108, 45",1,Legacy Mapping / Special Provision
191(1),"Sections 191(1), 191(2), 190, 109(1),
132, 121(1), 296, 221",1,Legacy Mapping / Special Provision
120,Section 120,1,Legacy Mapping / Special Provision
60,Section 60,1,Legacy Mapping / Special Provision
45,s.45,1,Legacy Mapping / Special Provision
108,Section 108,1,Legacy Mapping / Special Provision
318(2),"Sections
318(2), 318(4), 319, 335, 336(2), 336(3), 337, 338, 340",1,Legacy Mapping / Special Provision
2,s.2,1,Legacy Mapping / Special Provision
196,"Sections 196, 197(1), 302, 299, 57",1,Legacy Mapping / Special Provision
299,s.299,1,Legacy Mapping / Special Provision
117,ss. 117,1,Legacy Mapping / Special Provision
153,s.153,1,Legacy Mapping / Special Provision
66,"Sections 66, 66D",1,Legacy Mapping / Special Provision
85,Section 85,1,Legacy Mapping / Special Provision
34,Sections 34,1,Legacy Mapping / Special Provision
316(5),"Sections 316(5), 318(4), 61(2),
3",1,Legacy Mapping / Special Provision
94,Section 94,1,Legacy Mapping / Special Provision
60(b),"Sections 60(b), 316",1,Legacy Mapping / Special Provision
161,Section 161,1,Legacy Mapping / Special Provision
164,Section 164,1,Legacy Mapping / Special Provision
210,Section 210,1,Legacy Mapping / Special Provision
4,"ss. 4, 5(ii), 6, 8, 9, 14",1,Legacy Mapping / Special Provision
258,section 258,1,Legacy Mapping / Special Provision
3,ss.3,1,Legacy Mapping / Special Provision
65(1),"Sections 65(1),
74, 137",1,Legacy Mapping / Special Provision
75(2),"Sections 75(2), 79",1,Legacy Mapping / Special Provision
79,Section 79,1,Legacy Mapping / Special Provision
190,Section 190,1,Legacy Mapping / Special Provision
