state_jurisdiction,citation_frequency,unique_act_section_pairs,unique_canonical_titles
Maharashtra,22401,8778,2480
Uttar Pradesh,15335,5946,1830
Punjab,9646,3434,1080
Tamil Nadu,9013,3533,1225
Delhi,7934,2732,816
Karnataka,6593,2693,794
West Bengal,5378,2185,666
Bihar,5314,2102,654
Madhya Pradesh,5268,2165,656
Kerala,5112,1936,633
Andhra Pradesh / Telangana,3872,1780,659
Rajasthan,3520,1323,408
Gujarat,3035,1303,356
Odisha,2840,1148,403
Haryana,2014,754,244
Assam,975,441,157
Jammu & Kashmir,634,327,125
Himachal Pradesh,520,272,121
Goa,433,211,79
