decade,statute_group,citations
1950s,Other Acts,28113
1950s,IPC / BNS,1262
1950s,Constitution of India,768
1950s,CrPC / BNSS,518
1950s,CPC,336
1950s,IEA / BSA,318
1950s,Income Tax Act,159
1950s,Arbitration Act,82
1960s,Other Acts,68658
1960s,IPC / BNS,2005
1960s,Constitution of India,1250
1960s,IEA / BSA,917
1960s,Income Tax Act,669
1960s,CrPC / BNSS,629
1960s,Arbitration Act,526
1960s,CPC,522
1970s,Other Acts,66331
1970s,IPC / BNS,1838
1970s,Constitution of India,943
1970s,IEA / BSA,831
1970s,CrPC / BNSS,733
1970s,Income Tax Act,633
1970s,CPC,376
1970s,Arbitration Act,375
1980s,Other Acts,58384
1980s,IPC / BNS,1220
1980s,Constitution of India,862
1980s,Income Tax Act,622
1980s,IEA / BSA,606
1980s,CrPC / BNSS,474
1980s,Arbitration Act,460
1980s,CPC,353
1990s,Other Acts,56994
1990s,IEA / BSA,1215
1990s,IPC / BNS,1203
1990s,Income Tax Act,1040
1990s,Constitution of India,884
1990s,Arbitration Act,519
1990s,CrPC / BNSS,351
1990s,CPC,330
2000s,Other Acts,99116
2000s,IPC / BNS,4231
2000s,IEA / BSA,2753
2000s,Arbitration Act,1537
2000s,Constitution of India,1437
2000s,Income Tax Act,1082
2000s,CPC,740
2000s,CrPC / BNSS,545
2010s,Other Acts,200971
2010s,IPC / BNS,6346
2010s,IEA / BSA,4712
2010s,Arbitration Act,3631
2010s,Constitution of India,3128
2010s,Income Tax Act,1645
2010s,CPC,1226
2010s,CrPC / BNSS,1049
2020s,Other Acts,175219
2020s,Arbitration Act,5185
2020s,IEA / BSA,4784
2020s,IPC / BNS,4486
2020s,Constitution of India,1906
2020s,Income Tax Act,1573
2020s,CPC,1163
2020s,CrPC / BNSS,857
