rank,statute,total_citations,unique_sections_count,max_document_count
1,"Indian Penal Code, 1860",234950,1300,3311
2,"Code of Criminal Procedure, 1973",104186,1029,811
3,"Code of Civil Procedure, 1908",97174,763,450
4,"Limitation Act, 1963",45420,415,327
5,"Income Tax Act, 1961",39976,728,148
6,"Indian Evidence Act, 1872",31493,535,231
7,"Land Acquisition Act, 1894",22739,317,738
8,"Customs Act, 1962",14088,388,77
9,"Companies Act, 1956 / 2013",13508,586,101
10,"Transfer of Property Act, 1882",11716,311,132
11,"Industrial Disputes Act, 1947",11128,286,220
12,"General Clauses Act, 1897",10925,320,163
13,"Arbitration Act, 1940 / 1996",10409,207,157
14,"Negotiable Instruments Act, 1881",9262,216,319
15,"Arbitration & Conciliation Act, 1996",9115,179,243
16,"Indian Contract Act, 1872",8868,302,89
17,"Motor Vehicles Act, 1988",8389,279,178
18,"NDPS Act, 1985",8209,223,81
19,"Companies Act, 1956",6948,485,106
20,"Registration Act, 1908",5627,223,122
21,"Prevention of Corruption Act, 1988",5065,228,165
22,"Specific Relief Act, 1963",4142,168,60
23,"Representation of the People Act, 1951",3801,226,109
24,"SARFAESI Act, 2002",3491,118,71
25,"Central Excise Act, 1944",3141,179,74
26,"Arbitration Act, 1940",2920,122,84
27,"Consumer Protection Act, 1986",2759,155,101
28,Finance Act,2554,265,54
29,U.P. Act,2537,195,89
30,"Companies Act, 2013",2357,252,42
31,MRTP Act,2135,137,31
32,Rent Act,2068,141,43
33,Tenancy Act,1983,178,27
34,Bombay Act,1950,191,39
35,IT Act,1854,176,15
36,Arms Act,1708,159,121
37,LA Act,1607,71,47
38,Central Sales Tax Act,1575,67,53
39,"Central Sales Tax Act, 1956",1563,91,59
40,"Essential Commodities Act, 1955",1512,106,96
41,Stamp Act,1502,104,29
42,"Electricity Act, 2003",1485,130,34
43,TADA Act,1448,95,45
44,Hindu Succession Act,1387,73,67
45,Abolition Act,1370,120,37
46,Electricity Act,1329,133,23
47,C Act,1273,128,23
48,"Hindu Succession Act, 1956",1240,80,78
49,Madras Act,1204,144,56
50,In this Act,1173,125,210
51,L.A. Act,1158,75,33
52,"Insolvency and Bankruptcy Code, 2016",1139,131,63
53,"Delhi Rent Control Act, 1958",1087,83,96
54,Factories Act,1034,84,59
55,SEBI Act,1008,103,24
56,PC Act,990,89,55
57,CGST Act,988,62,5
58,Punjab Act,983,115,28
59,"Government of India Act, 1935",937,165,28
60,Subject to the provisions of this Act,904,125,48
61,Acquisition Act,879,75,36
62,Army Act,862,108,13
63,ID Act,846,74,41
64,"Banking Regulation Act, 1949",837,102,24
65,Forest Act,833,62,11
66,T.P. Act,833,84,13
67,Bihar Act,824,90,32
68,Delhi Rent Control Act,809,83,67
69,Maharashtra Act,799,108,24
70,Ceiling Act,788,69,19
71,Wealth Tax Act,780,88,38
72,TP Act,777,87,17
73,A Act,768,125,22
74,"Hindu Marriage Act, 1955",758,65,87
75,Act and the Rules,748,134,23
76,Notwithstanding anything contained in this Act,743,147,20
77,"Finance Act, 1994",743,83,41
