statute,statute_total_citations,sec_rank,section,matched_text,section_citations,pct_of_statute
Indian Penal Code,15481,1,302,Section 302,9051,58.47
Indian Penal Code,15481,2,34,Section 34,4938,31.9
Indian Penal Code,15481,3,304,Section 304,3681,23.78
Indian Penal Code,15481,4,149,Section 149,2765,17.86
Indian Penal Code,15481,5,300,Section 300,1783,11.52
Indian Penal Code,15481,6,3,Section 3,1682,10.86
Indian Penal Code,15481,7,482,Section 482,1563,10.1
Indian Penal Code,15481,8,307,Section 307,1551,10.02
Indian Penal Code,15481,9,376,Section 376,1546,9.99
Indian Penal Code,15481,10,306,Section 306,1383,8.93
Constitution of India,14031,1,3,Section 3,4706,33.54
Constitution of India,14031,2,2,Section 2,3595,25.62
Constitution of India,14031,3,4,Section 4,2735,19.49
Constitution of India,14031,4,5,Section 5,2173,15.49
Constitution of India,14031,5,6,Section 6,2048,14.6
Constitution of India,14031,6,3,s. 3,1835,13.08
Constitution of India,14031,7,11,Section 11,1727,12.31
Constitution of India,14031,8,3,section 3,1526,10.88
Constitution of India,14031,9,8,Section 8,1455,10.37
Constitution of India,14031,10,9,Section 9,1432,10.21
Limitation Act,12096,1,5,Section 5,1171,9.68
Limitation Act,12096,2,14,Section 14,915,7.56
Limitation Act,12096,3,34,Section 34,714,5.9
Limitation Act,12096,4,18,Section 18,504,4.17
Limitation Act,12096,5,7,Section 7,480,3.97
Limitation Act,12096,6,29,Section 29,446,3.69
Limitation Act,12096,7,3,Section 3,330,2.73
Limitation Act,12096,8,11,Section 11,305,2.52
Limitation Act,12096,9,10,Section 10,244,2.02
Limitation Act,12096,10,17,Section 17,238,1.97
Negotiable Instruments Act,3424,1,138,Section 138,1457,42.55
Negotiable Instruments Act,3424,2,141,Section 141,412,12.03
Negotiable Instruments Act,3424,3,139,Section 139,180,5.26
Negotiable Instruments Act,3424,4,138,s.138,178,5.2
Negotiable Instruments Act,3424,5,138,s. 138,115,3.36
Negotiable Instruments Act,3424,6,138,"Section
138",107,3.12
Negotiable Instruments Act,3424,7,142,Section 142,96,2.8
Negotiable Instruments Act,3424,8,482,Section 482,90,2.63
Negotiable Instruments Act,3424,9,138,Sections 138,84,2.45
Negotiable Instruments Act,3424,10,138,section 138,79,2.31
Indian Evidence Act,3392,1,27,Section 27,172,5.07
Indian Evidence Act,3392,2,32,Section 32,153,4.51
Indian Evidence Act,3392,3,114,Section 114,130,3.83
Indian Evidence Act,3392,4,68,Section 68,97,2.86
Indian Evidence Act,3392,5,15,Section 15,91,2.68
Indian Evidence Act,3392,6,106,Section 106,81,2.39
Indian Evidence Act,3392,7,35,Section 35,79,2.33
Indian Evidence Act,3392,8,63,Section 63,76,2.24
Indian Evidence Act,3392,9,65,Section 65,73,2.15
Indian Evidence Act,3392,10,25,Section 25,63,1.86
